timestamp,value,temp,precipitation,snowfall,windspeed
2014.7.1 0:00,10844,14.370529,0,0,4.1046314
2014.7.1 1:00,6210,13.450529,0,0,4.1046314
2014.7.1 2:00,3820,12.840529,0,0,3.396233
2014.7.1 3:00,2369,12.160529,0,0,4.39436
2014.7.1 4:00,2221,11.540529,0,0,5.95906
2014.7.1 5:00,2515,10.990529,0,0,7.968939
2014.7.1 6:00,6526,11.970529,0,0,8.089993
2014.7.1 7:00,13857,13.760529,0,0,10.587917
2014.7.1 8:00,17920,15.700529,0,0,11.013882
2014.7.1 9:00,19539,17.750528,0,0,11.542478
2014.7.1 10:00,18984,19.340528,0,0,11.525623
2014.7.1 11:00,17249,20.71053,0,0,10.446206
2014.7.1 12:00,18908,21.88053,0,0,9.779817
2014.7.1 13:00,18178,22.80053,0,0,7.5942073
2014.7.1 14:00,19546,23.45053,0,0,6.924738
2014.7.1 15:00,19380,23.95053,0,0,5.815978
2014.7.1 16:00,16228,24.280529,0,0,4.8965297
2014.7.1 17:00,17203,24.330528,0,0,5.1919937
2014.7.1 18:00,22966,24.22053,0,0,5.6920996
2014.7.1 19:00,26827,23.81053,0,0,5.0142193
2014.7.1 20:00,22875,23.110529,0,0,5.8048253
2014.7.1 21:00,23401,21.63053,0,0,6.28713
2014.7.1 22:00,23318,19.860529,0,0,4.198285
2014.7.1 23:00,20104,18.46053,0,0,5.0528407
2014.7.2 0:00,13370,16.850529,0,0,5.4477882
2014.7.2 1:00,7571,15.690529,0,0,3.0758414
2014.7.2 2:00,4820,14.850529,0,0,2.5455842
2014.7.2 3:00,2993,14.090529,0,0,4.6938252
2014.7.2 4:00,2570,13.670529,0,0,3.396233
2014.7.2 5:00,2868,13.590529,0,0,5.634891
2014.7.2 6:00,6788,13.870529,0,0,5.3517847
2014.7.2 7:00,13729,14.360529,0,0,8.311245
2014.7.2 8:00,19156,14.350529,0.4,0,4.2136917
2014.7.2 9:00,19502,14.860529,0.7,0,3.6
2014.7.2 10:00,17311,16.82053,0.1,0,4.8965297
2014.7.2 11:00,17133,19.340528,0,0,5.8048253
2014.7.2 12:00,19134,20.610529,0,0,8.854829
2014.7.2 13:00,18667,18.350529,0,0,4.3349743
